subject	activity	timeBodyAccMean-X	timeBodyAccMean-Y	timeBodyAccMean-Z	timeBodyAccStd-X	timeBodyAccStd-Y	timeBodyAccStd-Z	timeGravityAccMean-X	timeGravityAccMean-Y	timeGravityAccMean-Z	timeGravityAccStd-X	timeGravityAccStd-Y	timeGravityAccStd-Z	timeBodyAccJerkMean-X	timeBodyAccJerkMean-Y	timeBodyAccJerkMean-Z	timeBodyAccJerkStd-X	timeBodyAccJerkStd-Y	timeBodyAccJerkStd-Z	timeBodyGyroMean-X	timeBodyGyroMean-Y	timeBodyGyroMean-Z	timeBodyGyroStd-X	timeBodyGyroStd-Y	timeBodyGyroStd-Z	timeBodyGyroJerkMean-X	timeBodyGyroJerkMean-Y	timeBodyGyroJerkMean-Z	timeBodyGyroJerkStd-X	timeBodyGyroJerkStd-Y	timeBodyGyroJerkStd-Z	timeBodyAccMagMean	timeBodyAccMagStd	timeGravityAccMagMean	timeGravityAccMagStd	timeBodyAccJerkMagMean	timeBodyAccJerkMagStd	timeBodyGyroMagMean	timeBodyGyroMagStd	timeBodyGyroJerkMagMean	timeBodyGyroJerkMagStd	frequenceBodyAccMean-X	frequenceBodyAccMean-Y	frequenceBodyAccMean-Z	frequenceBodyAccStd-X	frequenceBodyAccStd-Y	frequenceBodyAccStd-Z	frequenceBodyAccMeanFreq-X	frequenceBodyAccMeanFreq-Y	frequenceBodyAccMeanFreq-Z	frequenceBodyAccJerkMean-X	frequenceBodyAccJerkMean-Y	frequenceBodyAccJerkMean-Z	frequenceBodyAccJerkStd-X	frequenceBodyAccJerkStd-Y	frequenceBodyAccJerkStd-Z	frequenceBodyAccJerkMeanFreq-X	frequenceBodyAccJerkMeanFreq-Y	frequenceBodyAccJerkMeanFreq-Z	frequenceBodyGyroMean-X	frequenceBodyGyroMean-Y	frequenceBodyGyroMean-Z	frequenceBodyGyroStd-X	frequenceBodyGyroStd-Y	frequenceBodyGyroStd-Z	frequenceBodyGyroMeanFreq-X	frequenceBodyGyroMeanFreq-Y	frequenceBodyGyroMeanFreq-Z	frequenceBodyAccMagMean	frequenceBodyAccMagStd	frequenceBodyAccMagMeanFreq	frequenceBodyBodyAccJerkMagMean	frequenceBodyBodyAccJerkMagStd	frequenceBodyBodyAccJerkMagMeanFreq	frequenceBodyBodyGyroMagMean	frequenceBodyBodyGyroMagStd	frequenceBodyBodyGyroMagMeanFreq	frequenceBodyBodyGyroJerkMagMean	frequenceBodyBodyGyroJerkMagStd	frequenceBodyBodyGyroJerkMagMeanFreq	
																																																																																	
10	2	SITTING	0.2770874	-0.015687994	-0.10921827	-0.98682228	-0.950704499	-0.95982817	0.9404773	-0.105630024	0.198726769	-0.9799888	-0.9567503	-0.9544159	0.07225644	1.17E-02	7.61E-03	-0.988055854	-0.977983955	-0.98751821	-0.045470662	-0.05992868	0.041227746	-0.985742	-0.978919527	-0.95980371	-0.09363284	-0.0415602	-0.043585097	-0.98970902	-0.99088961	-0.985542326	-0.967893624	-0.95308144	-0.967893624	-0.95308144	-0.98677471	-0.98447587	-0.946035087	-0.96131362	-0.99108149	-0.98959492	-0.98580384	-0.957343498	-0.97016217	-0.98736209	-0.950073754	-0.95686286	8.52E-02	0.150193956	0.096064676	-0.987848794	-0.977139703	-0.98512905	-0.989459107	-0.980804228	-0.988570804	0.30554682	2.62E-02	0.092903063	-0.98262139	-0.98210092	-0.95981482	-0.9868085	-0.97735619	-0.96352266	0.130523121	-0.192142738	0.040947235	-0.961273748	-0.955575602	0.130934203	-0.983874699	-0.98412419	0.280062424	-0.971840596	-0.96138575	-0.106358909	-0.98986195	-0.98963291	0.194722149
11	2	STANDING	0.2779115	-0.018420827	-0.10590854	-0.987271889	-0.957304989	-0.94974185	0.8969286	-0.370062697	0.129747161	-0.9866858	-0.9741944	-0.9459271	0.07475886	1.03E-02	-8.37E-03	-0.981085716	-0.97105944	-0.98284145	-0.023862388	-0.082039658	0.08783517	-0.9729986	-0.971441996	-0.9648567	-0.10556216	-0.04224195	-0.054653948	-0.979324	-0.98344726	-0.973610118	-0.965875181	-0.95787497	-0.965875181	-0.95787497	-0.98048908	-0.97667528	-0.963466342	-0.95394338	-0.9839519	-0.97720443	-0.98394674	-0.959871697	-0.9624712	-0.98905647	-0.957908842	-0.94643358	1.09E-01	0.062337807	0.1044625	-0.980973242	-0.970851338	-0.97977515	-0.983007924	-0.973520241	-0.984599905	0.33144928	-5.69E-02	0.039649818	-0.96703711	-0.97257615	-0.9606277	-0.9749881	-0.97103605	-0.9697543	-0.107416045	-0.17116037	0.000226811	-0.964052166	-0.960519382	0.119649964	-0.977065296	-0.97516046	0.304871865	-0.961775905	-0.95678873	-0.066126605	-0.97784983	-0.9777543	0.160662824
12	2	LAYING	0.2813734	-0.01815874	-0.10724561	-0.974059465	-0.980277399	-0.9842333	-0.5097542	0.752536639	0.64683488	-0.9590144	-0.9882119	-0.9842304	0.08259725	1.23E-02	-1.80E-03	-0.985872169	-0.983172541	-0.98844201	-0.018476607	-0.111800825	0.144882846	-0.9882752	-0.982291609	-0.96030656	-0.10197413	-0.03585902	-0.070178302	-0.99323585	-0.98956754	-0.988035821	-0.977435485	-0.97287391	-0.977435485	-0.97287391	-0.9877417	-0.98551808	-0.95001157	-0.96116405	-0.99176707	-0.9897181	-0.97672506	-0.979800878	-0.98438098	-0.973246482	-0.981025106	-0.98479218	-1.46E-01	0.257289466	0.402532553	-0.985813631	-0.98276825	-0.98619713	-0.987250256	-0.984987393	-0.989345369	0.15980833	1.21E-01	0.190558218	-0.98643114	-0.98332164	-0.96267189	-0.9888607	-0.98191062	-0.96317422	0.102611319	0.042280668	0.055298599	-0.975110196	-0.975121388	0.266298213	-0.985374115	-0.98456849	0.341758575	-0.972112973	-0.96109838	0.018564472	-0.9902487	-0.98949266	0.264801505
13	3	WALKING	0.2755675	-0.017176784	-0.11267486	-0.360356726	-0.069914065	-0.38741199	0.9365067	-0.261986358	-0.138107866	-0.9777716	-0.9623556	-0.9520918	0.08147459	1.01E-02	-5.62E-03	-0.268679644	-0.044961959	-0.52948612	-0.025640519	-0.077915094	0.081348594	-0.5718696	-0.56379326	-0.47669641	-0.09523982	-0.03878747	-0.05036161	-0.38592299	-0.63908798	-0.53666408	-0.254690333	-0.32842894	-0.254690333	-0.32842894	-0.28000932	-0.13991636	-0.466411754	-0.56151068	-0.56613522	-0.56737156	-0.31661401	-0.081302435	-0.41237407	-0.379276781	-0.124030832	-0.42299847	-2.47E-01	0.171743003	0.074853656	-0.304694443	-0.14050859	-0.51413726	-0.296596633	-0.005614988	-0.543529108	-0.21604267	-2.59E-01	-0.346946648	-0.43784576	-0.56152627	-0.41812622	-0.6151214	-0.56888867	-0.54589639	0.03375969	-0.037989651	-0.044507974	-0.290031535	-0.456373081	0.113494313	-0.186764517	-0.08985199	-0.117163983	-0.569755772	-0.63264329	0.180946463	-0.60775165	-0.54908701	0.045762296
14	3	WALKING_UPSTAIRS	0.2608199	-0.032410941	-0.11006486	-0.313123438	0.011628081	-0.3697546	0.8835334	-0.382851154	-0.162943955	-0.9440408	-0.909826	-0.9094697	0.0426881	3.97E-02	2.08E-02	-0.458364617	-0.251680365	-0.70855171	0.072198031	-0.139275406	0.02156037	-0.4560393	-0.582742846	-0.49232731	-0.11551057	-0.04003725	-0.049818087	-0.50727076	-0.77577414	-0.573433948	-0.184014895	-0.33359743	-0.184014895	-0.33359743	-0.43690116	-0.43902059	-0.347321812	-0.40888665	-0.6588614	-0.71802804	-0.39200421	-0.078809416	-0.50449453	-0.285333024	-0.008039875	-0.35079723	-4.61E-01	-0.100019162	-0.278895911	-0.478434306	-0.283772547	-0.67731453	-0.48644651	-0.268191524	-0.738705864	-0.32515113	-4.54E-01	-0.442664136	-0.37821668	-0.63729351	-0.43150336	-0.484821	-0.55604595	-0.56109765	-0.145536204	-0.339321488	-0.102013834	-0.315866079	-0.447994369	0.023821875	-0.412920899	-0.4806092	0.090494409	-0.514211584	-0.4451818	-0.177730592	-0.71687778	-0.74003344	0.075384359
15	3	WALKING_DOWNSTAIRS	0.2924235	-0.019355408	-0.11613984	-0.057410048	-0.033150372	-0.36224025	0.9390578	-0.228829214	-0.102352758	-0.9500611	-0.9460946	-0.8999439	0.07256893	1.10E-02	-2.03E-03	-0.085801004	-0.111439195	-0.57173524	-0.131573277	-0.013935804	0.123826738	-0.2616534	-0.546740388	-0.44230777	-0.07787017	-0.03915679	-0.041619313	-0.28568316	-0.68094734	-0.374605412	-0.062812612	-0.04113401	-0.062812612	-0.04113401	-0.20523925	-0.09263245	-0.215294501	-0.2457947	-0.50856758	-0.58391921	-0.04217069	-0.007700483	-0.40445241	-0.065441719	-0.109722354	-0.38972303	-3.26E-01	0.052906524	-0.056600305	-0.090670713	-0.135938543	-0.52905945	-0.165442899	-0.14772824	-0.613525074	-0.22959943	-3.56E-01	-0.274421716	-0.12906657	-0.54269416	-0.30286646	-0.3086303	-0.55309454	-0.54816431	-0.159888621	-0.109972458	0.091007284	0.02894132	-0.233849422	0.043961669	-0.049477977	-0.15910229	0.043496784	-0.332376629	-0.32244083	-0.051669955	-0.5762772	-0.62491082	0.065444436
16	3	SITTING	0.2571976	-0.003502998	-0.09835792	-0.971010121	-0.856617812	-0.87511018	0.901099	0.127303379	0.139020582	-0.9573245	-0.903923	-0.8977363	0.07260984	2.73E-03	-4.23E-03	-0.97446739	-0.953631391	-0.97466157	-0.038536521	-0.075241003	0.094011398	-0.9654348	-0.944854571	-0.92641371	-0.10360589	-0.03609099	-0.059007997	-0.97254691	-0.97863591	-0.973751671	-0.89538335	-0.8703017	-0.89538335	-0.8703017	-0.96908075	-0.96655008	-0.919354372	-0.9255181	-0.97799805	-0.97677268	-0.97015444	-0.891907751	-0.91798793	-0.971605878	-0.849655658	-0.86432246	3.13E-02	-0.006616306	0.047861959	-0.974950363	-0.954170151	-0.97084567	-0.976283535	-0.956461757	-0.977159572	0.21573183	-9.59E-02	-0.043747343	-0.95755064	-0.95617355	-0.93496796	-0.9680131	-0.93960999	-0.93063315	0.052084449	-0.166042259	-0.038746742	-0.904185726	-0.874626592	0.028160079	-0.965888892	-0.96656885	0.28679577	-0.946664944	-0.92544963	-0.115525765	-0.97789811	-0.9766898	0.087190234
17	3	STANDING	0.2800465	-0.014337656	-0.10162172	-0.966742543	-0.893449307	-0.91141902	0.9350308	-0.30173513	0.024763107	-0.9820204	-0.9574253	-0.9281616	0.07509006	7.72E-03	-8.07E-03	-0.957086489	-0.941686786	-0.97305963	-0.024662607	-0.058510192	0.066526205	-0.9004622	-0.927788618	-0.91236408	-0.09946026	-0.04724158	-0.041683216	-0.94093764	-0.96843375	-0.958293012	-0.925430819	-0.9151433	-0.925430819	-0.9151433	-0.95930384	-0.94877004	-0.892089349	-0.88212522	-0.96233934	-0.95767977	-0.96012341	-0.908075354	-0.93950774	-0.969931287	-0.892434349	-0.90480125	-8.70E-02	-0.12818013	0.007718979	-0.957666857	-0.943497974	-0.9691749	-0.960570922	-0.943948547	-0.97559595	0.07495644	-2.58E-01	-0.112367642	-0.90128227	-0.93771116	-0.91617254	-0.9019857	-0.92312594	-0.91974385	-0.297107442	-0.316011207	-0.229120091	-0.926968932	-0.921836077	-0.000332754	-0.948627468	-0.94820681	0.129816298	-0.913682363	-0.88343972	-0.309822161	-0.96033172	-0.95712151	-0.020630782
18	3	LAYING	0.2755169	-0.018955679	-0.10130048	-0.982776639	-0.962057545	-0.96369103	-0.2417585	0.8370321	0.488703185	-0.9825122	-0.9812027	-0.9648075	0.07698111	1.38E-02	-4.36E-03	-0.980879315	-0.968710725	-0.98209316	-0.020817054	-0.071850716	0.137999561	-0.9745458	-0.977272654	-0.96350561	-0.1000445	-0.03897718	-0.06873387	-0.98032865	-0.98676274	-0.98333828	-0.972791346	-0.96421818	-0.972791346	-0.96421818	-0.97948459	-0.9761213	-0.951564751	-0.95427511	-0.98671363	-0.98313926	-0.98066561	-0.961169983	-0.96833214	-0.983691129	-0.964094604	-0.96327908	-7.40E-02	0.238470751	0.216971672	-0.980513202	-0.968752114	-0.97912234	-0.983122616	-0.971044013	-0.983711905	0.17597855	-1.32E-02	0.044819691	-0.97016726	-0.97809968	-0.96234196	-0.9759864	-0.9770325	-0.96725685	-0.082216645	-0.026682011	0.147686456	-0.965524275	-0.968350217	0.236990128	-0.975949598	-0.97530538	0.238611134	-0.964586725	-0.95544186	-0.022929612	-0.98427825	-0.98256816	0.110697704
